,Account,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,@BBCnews,-0.4767,Fri Jun 08 01:24:52 +0000 2018,0.744,0.256,0.0,0
1,@BBCnews,-0.6705,Fri Jun 08 01:24:52 +0000 2018,0.522,0.478,0.0,1
2,@BBCnews,0.4939,Fri Jun 08 01:24:51 +0000 2018,0.714,0.0,0.286,2
3,@BBCnews,0.2732,Fri Jun 08 01:24:51 +0000 2018,0.792,0.0,0.208,3
4,@BBCnews,0.0,Fri Jun 08 01:24:51 +0000 2018,1.0,0.0,0.0,4
5,@BBCnews,0.0,Fri Jun 08 01:24:51 +0000 2018,1.0,0.0,0.0,5
6,@BBCnews,0.0,Fri Jun 08 01:22:28 +0000 2018,1.0,0.0,0.0,6
7,@BBCnews,0.0,Fri Jun 08 01:22:28 +0000 2018,1.0,0.0,0.0,7
8,@BBCnews,0.0,Fri Jun 08 01:22:26 +0000 2018,1.0,0.0,0.0,8
9,@BBCnews,0.5719,Fri Jun 08 01:22:26 +0000 2018,0.709,0.0,0.291,9
10,@BBCnews,0.4939,Fri Jun 08 00:27:14 +0000 2018,0.738,0.0,0.262,10
11,@BBCnews,-0.6808,Fri Jun 08 00:09:54 +0000 2018,0.556,0.444,0.0,11
12,@BBCnews,0.0,Fri Jun 08 00:00:28 +0000 2018,1.0,0.0,0.0,12
13,@BBCnews,-0.6908,Thu Jun 07 23:53:15 +0000 2018,0.551,0.449,0.0,13
14,@BBCnews,-0.5423,Thu Jun 07 23:18:50 +0000 2018,0.53,0.351,0.119,14
15,@BBCnews,-0.296,Thu Jun 07 22:52:28 +0000 2018,0.845,0.155,0.0,15
16,@BBCnews,0.34,Thu Jun 07 22:45:31 +0000 2018,0.833,0.0,0.167,16
17,@BBCnews,0.1779,Thu Jun 07 22:45:31 +0000 2018,0.892,0.0,0.108,17
18,@BBCnews,-0.1027,Thu Jun 07 22:30:55 +0000 2018,0.811,0.189,0.0,18
19,@BBCnews,0.0,Thu Jun 07 22:08:13 +0000 2018,1.0,0.0,0.0,19
